Temperature (C),Date,most_freq_summary
7.933333333,19.11.2006,Mostly Cloudy
-0.211111111,2.11.2006,Partly Cloudy
7.083333333,20.11.2006,Clear
7.677777778,21.11.2006,Overcast
8.222222222,22.11.2006,Mostly Cloudy
7.483333333,23.11.2006,Overcast
4.011111111,24.11.2006,Foggy
7.344444444,25.11.2006,Partly Cloudy
5.688888889,26.11.2006,Partly Cloudy
2.338888889,27.11.2006,Clear
3.288888889,28.11.2006,Foggy
5.072222222,29.11.2006,Foggy
-3.566666667,3.11.2006,Partly Cloudy
1.255555556,4.11.2006,Partly Cloudy
7.238888889,5.11.2006,Overcast
8.861111111,6.11.2006,Overcast
2.511111111,7.11.2006,Partly Cloudy
3.283333333,8.11.2006,Clear
14.26111111,30.9.2006,Partly Cloudy
13.25555556,1.10.2006,Mostly Cloudy
8.283333333,9.10.2006,Clear
7.355555556,10.10.2006,Clear
10.08333333,11.10.2006,Partly Cloudy
9.433333333,12.10.2006,Partly Cloudy
8.005555556,13.10.2006,Partly Cloudy
6.033333333,14.10.2006,Partly Cloudy
7.172222222,15.10.2006,Partly Cloudy
5.494444444,16.10.2006,Partly Cloudy
0.188888889,17.10.2006,Clear
3.95,18.10.2006,Clear
4.122222222,19.10.2006,Partly Cloudy
15.52222222,2.10.2006,Mostly Cloudy
7.488888889,20.10.2006,Mostly Cloudy
12.01111111,21.10.2006,Mostly Cloudy
11.78888889,22.10.2006,Mostly Cloudy
15.31666667,23.10.2006,Mostly Cloudy
14.49444444,24.10.2006,Mostly Cloudy
8.85,25.10.2006,Mostly Cloudy
10.77777778,26.10.2006,Mostly Cloudy
11.11111111,27.10.2006,Clear
8.938888889,28.10.2006,Partly Cloudy
11.32777778,29.10.2006,Mostly Cloudy
17.04444444,3.10.2006,Partly Cloudy
1.077777778,30.10.2006,Partly Cloudy
14.46111111,4.10.2006,Partly Cloudy
12.05,5.10.2006,Mostly Cloudy
7.7,6.10.2006,Partly Cloudy
7.433333333,7.10.2006,Partly Cloudy
8.555555556,8.10.2006,Mostly Cloudy
18.8,1.8.2010,Partly Cloudy
18.07222222,2.8.2010,Clear
10.64444444,1.9.2006,Partly Cloudy
9.816666667,9.9.2006,Partly Cloudy
10.83333333,10.9.2006,Clear
9.372222222,11.9.2006,Clear
10.77222222,12.9.2006,Partly Cloudy
15.25,13.9.2006,Partly Cloudy
15.21666667,14.9.2006,Partly Cloudy
17.17222222,15.9.2006,Mostly Cloudy
17.86111111,16.9.2006,Mostly Cloudy
18.08333333,17.9.2006,Mostly Cloudy
16.68888889,18.9.2006,Mostly Cloudy
16.61111111,19.9.2006,Overcast
13.10555556,2.9.2006,Partly Cloudy
14.73888889,20.9.2006,Partly Cloudy
14.02777778,21.9.2006,Partly Cloudy
11.99444444,22.9.2006,Partly Cloudy
12.66666667,23.9.2006,Mostly Cloudy
11.43333333,24.9.2006,Partly Cloudy
14.73333333,25.9.2006,Clear
13.08888889,26.9.2006,Partly Cloudy
14.56111111,27.9.2006,Mostly Cloudy
12.53888889,28.9.2006,Partly Cloudy
12.97222222,29.9.2006,Clear
17.23333333,3.9.2006,Mostly Cloudy
20.61666667,4.9.2006,Partly Cloudy
16.47222222,5.9.2006,Partly Cloudy
13.80555556,6.9.2006,Partly Cloudy
14.97222222,7.9.2006,Partly Cloudy
13.50555556,8.9.2006,Mostly Cloudy
6.55,31.3.2007,Partly Cloudy
4.927777778,1.4.2007,Partly Cloudy
9.844444444,9.4.2007,Partly Cloudy
11.38888889,10.4.2007,Partly Cloudy
7.322222222,11.4.2007,Partly Cloudy
7.777777778,12.4.2007,Clear
9.116666667,13.4.2007,Clear
10.38888889,14.4.2007,Clear
9.544444444,15.4.2007,Clear
3.494444444,16.4.2007,Partly Cloudy
7.522222222,17.4.2007,Partly Cloudy
8.561111111,18.4.2007,Mostly Cloudy
5.744444444,19.4.2007,Partly Cloudy
4.183333333,2.4.2007,Partly Cloudy
6.294444444,20.4.2007,Clear
5.577777778,21.4.2007,Partly Cloudy
2.627777778,22.4.2007,Partly Cloudy
5.705555556,23.4.2007,Partly Cloudy
10.03333333,24.4.2007,Partly Cloudy
9.977777778,25.4.2007,Partly Cloudy
8.694444444,26.4.2007,Partly Cloudy
7.705555556,27.4.2007,Partly Cloudy
11.64444444,28.4.2007,Partly Cloudy
10.57777778,29.4.2007,Mostly Cloudy
6.933333333,3.4.2007,Partly Cloudy
6.383333333,30.4.2007,Partly Cloudy
5.966666667,4.4.2007,Partly Cloudy
5.255555556,5.4.2007,Partly Cloudy
6.305555556,6.4.2007,Clear
8.822222222,7.4.2007,Partly Cloudy
5.316666667,8.4.2007,Partly Cloudy
13.91666667,31.7.2007,Mostly Cloudy
12.5,1.8.2007,Partly Cloudy
22.06666667,9.8.2007,Partly Cloudy
20.16111111,10.8.2007,Mostly Cloudy
18.17777778,11.8.2007,Mostly Cloudy
17.65555556,12.8.2007,Partly Cloudy
18.81111111,13.8.2007,Mostly Cloudy
17.57222222,14.8.2007,Partly Cloudy
18.42222222,15.8.2007,Partly Cloudy
19.55,16.8.2007,Clear
21.50555556,17.8.2007,Partly Cloudy
20.4,18.8.2007,Mostly Cloudy
20.68888889,19.8.2007,Mostly Cloudy
15.57777778,2.8.2007,Clear
21.21111111,20.8.2007,Partly Cloudy
17.86666667,21.8.2007,Partly Cloudy
21.83333333,22.8.2007,Mostly Cloudy
22.63888889,23.8.2007,Partly Cloudy
22.87777778,24.8.2007,Clear
22.67222222,25.8.2007,Mostly Cloudy
18.4,26.8.2007,Partly Cloudy
18.01666667,27.8.2007,Partly Cloudy
18.81111111,28.8.2007,Partly Cloudy
16.76666667,29.8.2007,Mostly Cloudy
17.64444444,3.8.2007,Clear
16.08888889,30.8.2007,Mostly Cloudy
16.7,31.8.2007,Overcast
14.1,4.8.2007,Partly Cloudy
17.37222222,5.8.2007,Partly Cloudy
17.72777778,6.8.2007,Partly Cloudy
17.66666667,7.8.2007,Mostly Cloudy
16.45,8.8.2007,Partly Cloudy
-1.616666667,30.11.2007,Overcast
0.866666667,1.12.2007,Foggy
3.983333333,9.12.2007,Foggy
4.983333333,10.12.2007,Overcast
4.505555556,11.12.2007,Overcast
3.994444444,12.12.2007,Overcast
-1.033333333,13.12.2007,Mostly Cloudy
-4.427777778,14.12.2007,Partly Cloudy
-2.316666667,15.12.2007,Mostly Cloudy
-2.066666667,16.12.2007,Overcast
-3.244444444,17.12.2007,Overcast
-7.516666667,18.12.2007,Foggy
-5.305555556,19.12.2007,Foggy
2.761111111,2.12.2007,Foggy
-3.6,20.12.2007,Overcast
-4.4,21.12.2007,Foggy
-4.955555556,22.12.2007,Foggy
-4.038888889,23.12.2007,Foggy
-4.366666667,24.12.2007,Overcast
-3.483333333,25.12.2007,Overcast
-4.211111111,26.12.2007,Overcast
-4.261111111,27.12.2007,Overcast
-4.783333333,28.12.2007,Overcast
-5.294444444,29.12.2007,Foggy
5.5,3.12.2007,Overcast
-5.477777778,30.12.2007,Overcast
-5.111111111,31.12.2007,Overcast
1.533333333,4.12.2007,Partly Cloudy
-1.966666667,5.12.2007,Clear
-1.188888889,6.12.2007,Partly Cloudy
2.9,7.12.2007,Mostly Cloudy
4.405555556,8.12.2007,Foggy
0.555555556,31.1.2007,Partly Cloudy
2.522222222,1.2.2007,Windy and Partly Cloudy
0.061111111,9.2.2007,Overcast
6.177777778,10.2.2007,Mostly Cloudy
7.127777778,11.2.2007,Foggy
7.788888889,12.2.2007,Foggy
5.966666667,13.2.2007,Overcast
2.533333333,14.2.2007,Partly Cloudy
5.633333333,15.2.2007,Overcast
5.061111111,16.2.2007,Mostly Cloudy
2.311111111,17.2.2007,Overcast
0.122222222,18.2.2007,Partly Cloudy
-0.627777778,19.2.2007,Partly Cloudy
2.361111111,2.2.2007,Clear
1.038888889,20.2.2007,Clear
7.494444444,21.2.2007,Mostly Cloudy
4.566666667,22.2.2007,Mostly Cloudy
1.588888889,23.2.2007,Partly Cloudy
-1.011111111,24.2.2007,Mostly Cloudy
0.527777778,25.2.2007,Mostly Cloudy
1.477777778,26.2.2007,Overcast
0.933333333,27.2.2007,Partly Cloudy
8.111111111,28.2.2007,Overcast
-2.2,3.2.2007,Mostly Cloudy
-1.833333333,4.2.2007,Mostly Cloudy
-1.544444444,5.2.2007,Mostly Cloudy
4.405555556,6.2.2007,Overcast
5.233333333,7.2.2007,Mostly Cloudy
8.044444444,8.2.2007,Mostly Cloudy
-1.416666667,1.1.2007,Overcast
6.255555556,9.1.2007,Partly Cloudy
4.061111111,10.1.2007,Partly Cloudy
6.005555556,11.1.2007,Mostly Cloudy
3.833333333,12.1.2007,Breezy and Partly Cloudy
3.611111111,13.1.2007,Mostly Cloudy
4.9,14.1.2007,Partly Cloudy
1.511111111,15.1.2007,Clear
0.238888889,16.1.2007,Clear
1.294444444,17.1.2007,Clear
9.961111111,18.1.2007,Clear
9.688888889,19.1.2007,Mostly Cloudy
3.133333333,2.1.2007,Overcast
3.577777778,20.1.2007,Mostly Cloudy
6.588888889,21.1.2007,Clear
5.105555556,22.1.2007,Mostly Cloudy
8.633333333,23.1.2007,Overcast
2.044444444,24.1.2007,Mostly Cloudy
-1.705555556,25.1.2007,Overcast
-4.944444444,26.1.2007,Partly Cloudy
-1.805555556,27.1.2007,Clear
1.566666667,28.1.2007,Mostly Cloudy
1.438888889,29.1.2007,Mostly Cloudy
0.45,3.1.2007,Partly Cloudy
3.655555556,30.1.2007,Mostly Cloudy
2.772222222,4.1.2007,Mostly Cloudy
3.872222222,5.1.2007,Mostly Cloudy
2.25,6.1.2007,Mostly Cloudy
2.366666667,7.1.2007,Clear
5.872222222,8.1.2007,Overcast
14.91111111,30.6.2007,Partly Cloudy
15.53333333,1.7.2007,Partly Cloudy
22.24444444,9.7.2007,Partly Cloudy
13.57222222,10.7.2007,Partly Cloudy
12.82777778,11.7.2007,Mostly Cloudy
12.58333333,12.7.2007,Partly Cloudy
15.13333333,13.7.2007,Partly Cloudy
17.71111111,14.7.2007,Partly Cloudy
17.76111111,15.7.2007,Partly Cloudy
20.22777778,16.7.2007,Clear
21.06666667,17.7.2007,Clear
21.97777778,18.7.2007,Clear
23.96111111,19.7.2007,Clear
21.88888889,2.7.2007,Partly Cloudy
22.68888889,20.7.2007,Clear
21.48888889,21.7.2007,Partly Cloudy
22.88333333,22.7.2007,Partly Cloudy
23.71111111,23.7.2007,Partly Cloudy
17.50555556,24.7.2007,Clear
14.96111111,25.7.2007,Partly Cloudy
13.56666667,26.7.2007,Clear
18.33333333,27.7.2007,Clear
20.43888889,28.7.2007,Partly Cloudy
23.11111111,29.7.2007,Mostly Cloudy
20.29444444,3.7.2007,Mostly Cloudy
14.13333333,30.7.2007,Overcast
14.77222222,4.7.2007,Overcast
13.05555556,5.7.2007,Partly Cloudy
16.13333333,6.7.2007,Mostly Cloudy
15.95,7.7.2007,Partly Cloudy
17.88333333,8.7.2007,Mostly Cloudy
12.15555556,31.5.2007,Partly Cloudy
14.69444444,1.6.2007,Partly Cloudy
16.18333333,9.6.2007,Partly Cloudy
18.45555556,10.6.2007,Partly Cloudy
15.64444444,11.6.2007,Partly Cloudy
15.58333333,12.6.2007,Mostly Cloudy
16.77222222,13.6.2007,Partly Cloudy
18.87222222,14.6.2007,Partly Cloudy
19.66666667,15.6.2007,Partly Cloudy
16.62777778,16.6.2007,Partly Cloudy
16.89444444,17.6.2007,Partly Cloudy
17.23888889,18.6.2007,Partly Cloudy
17.86111111,19.6.2007,Partly Cloudy
12.68888889,2.6.2007,Partly Cloudy
19.63888889,20.6.2007,Partly Cloudy
18.80555556,21.6.2007,Partly Cloudy
21.01111111,22.6.2007,Partly Cloudy
16.3,23.6.2007,Partly Cloudy
19.02222222,24.6.2007,Partly Cloudy
21.04444444,25.6.2007,Partly Cloudy
17.11111111,26.6.2007,Clear
15.63888889,27.6.2007,Partly Cloudy
12.87222222,28.6.2007,Partly Cloudy
13.92777778,29.6.2007,Partly Cloudy
16.24444444,3.6.2007,Partly Cloudy
16.86666667,4.6.2007,Partly Cloudy
16.58333333,5.6.2007,Mostly Cloudy
14.75555556,6.6.2007,Mostly Cloudy
15.36111111,7.6.2007,Partly Cloudy
17.49444444,8.6.2007,Mostly Cloudy
9.733333333,1.3.2007,Mostly Cloudy
8.772222222,9.3.2007,Mostly Cloudy
7.383333333,10.3.2007,Overcast
3.966666667,11.3.2007,Mostly Cloudy
4.288888889,12.3.2007,Partly Cloudy
8.194444444,13.3.2007,Clear
5.9,14.3.2007,Clear
4.183333333,15.3.2007,Partly Cloudy
2.488888889,16.3.2007,Clear
4.216666667,17.3.2007,Clear
9.244444444,18.3.2007,Partly Cloudy
8.394444444,19.3.2007,Mostly Cloudy
4.6,2.3.2007,Overcast
4.661111111,20.3.2007,Overcast
0.372222222,21.3.2007,Overcast
4.711111111,22.3.2007,Partly Cloudy
4.161111111,23.3.2007,Overcast
5.516666667,24.3.2007,Mostly Cloudy
4.066666667,25.3.2007,Partly Cloudy
3.511111111,26.3.2007,Partly Cloudy
5.088888889,27.3.2007,Partly Cloudy
7.4,28.3.2007,Partly Cloudy
6.85,29.3.2007,Mostly Cloudy
6.605555556,3.3.2007,Overcast
5.927777778,30.3.2007,Overcast
1.788888889,4.3.2007,Partly Cloudy
1.494444444,5.3.2007,Clear
5.761111111,6.3.2007,Partly Cloudy
8.838888889,7.3.2007,Mostly Cloudy
7.311111111,8.3.2007,Mostly Cloudy
5.861111111,1.5.2007,Partly Cloudy
10.60555556,9.5.2007,Mostly Cloudy
12.33888889,10.5.2007,Mostly Cloudy
15.41111111,11.5.2007,Partly Cloudy
12.17777778,12.5.2007,Mostly Cloudy
14.53333333,13.5.2007,Partly Cloudy
15.71111111,14.5.2007,Partly Cloudy
15.25,15.5.2007,Mostly Cloudy
11.40555556,16.5.2007,Partly Cloudy
12.63888889,17.5.2007,Mostly Cloudy
11.2,18.5.2007,Overcast
12.92777778,19.5.2007,Overcast
6.633333333,2.5.2007,Partly Cloudy
15.45555556,20.5.2007,Mostly Cloudy
17.23333333,21.5.2007,Partly Cloudy
15.22222222,22.5.2007,Partly Cloudy
15.70555556,23.5.2007,Partly Cloudy
16.93888889,24.5.2007,Partly Cloudy
16.35555556,25.5.2007,Mostly Cloudy
17.84444444,26.5.2007,Partly Cloudy
19.1,27.5.2007,Mostly Cloudy
17.38888889,28.5.2007,Partly Cloudy
14.45555556,29.5.2007,Mostly Cloudy
10.78888889,3.5.2007,Overcast
10.30555556,30.5.2007,Mostly Cloudy
13.38333333,4.5.2007,Overcast
14.76111111,5.5.2007,Partly Cloudy
13.32222222,6.5.2007,Overcast
11.59444444,7.5.2007,Partly Cloudy
12.80555556,8.5.2007,Mostly Cloudy
9.95,31.10.2007,Overcast
3.338888889,1.11.2007,Partly Cloudy
4.444444444,9.11.2007,Overcast
3.461111111,10.11.2007,Partly Cloudy
6.083333333,11.11.2007,Overcast
3.6,12.11.2007,Mostly Cloudy
0.194444444,13.11.2007,Partly Cloudy
2.344444444,14.11.2007,Overcast
1.244444444,15.11.2007,Overcast
1.138888889,16.11.2007,Overcast
1.061111111,17.11.2007,Overcast
1.927777778,18.11.2007,Overcast
3.011111111,19.11.2007,Overcast
4.927777778,2.11.2007,Partly Cloudy
-0.411111111,20.11.2007,Foggy
0.011111111,21.11.2007,Partly Cloudy
2.75,22.11.2007,Mostly Cloudy
4.138888889,23.11.2007,Mostly Cloudy
2.077777778,24.11.2007,Partly Cloudy
4.144444444,25.11.2007,Foggy
5.083333333,26.11.2007,Overcast
-0.327777778,27.11.2007,Partly Cloudy
-3.244444444,28.11.2007,Clear
-2.361111111,29.11.2007,Clear
8.344444444,3.11.2007,Foggy
5.483333333,4.11.2007,Mostly Cloudy
0.4,5.11.2007,Partly Cloudy
2.877777778,6.11.2007,Overcast
5.222222222,7.11.2007,Overcast
6.094444444,8.11.2007,Partly Cloudy
12.08888889,30.9.2007,Partly Cloudy
10.79444444,1.10.2007,Partly Cloudy
