Company Name,Job Title,Salaries Reported,Location,Monthly Salary,Role_Manager,Role_Specialist
XYZ,Data Scientist,1,Bangalore,223028.33,0,1
Serco Group,Data Analyst,5,Hyderabad,30897.0,0,1
Apple,Data Engineer,1,Hyderabad,122695.83,0,1
Gallagher,Data Analyst,2,Pune,27269.0,0,1
Vishwakarma Institute of Technology,Data Scientist,2,Pune,106203.33,0,1
Media.net,Data Analyst,9,Mumbai,44037.75,0,1
Ziafa Technologies,Data Scientist,1,Bangalore,47654.92,0,1
IIT Delhi,Machine Learning,1,New Delhi,20328.0,0,1
Publicis Sapient,Data Scientist,2,Bangalore,33050.0,0,1
ZS Associates,Data Science Consultant,5,Pune,222622.0,0,1
HP Inc.,Data Scientist,16,Bangalore,125840.08,0,1
Scanta,Machine Learning,1,New Delhi,26872.08,0,1
Octro,Data Scientist,4,New Delhi,97264.92,0,1
Self Opportunity,Machine Learning,1,Hyderabad,25899.0,0,1
Yogesh Chandra Pant,Data Engineer,1,New Delhi,51532.25,0,1
McKinsey Knowledge Center,Data Analyst,1,New Delhi,241282.2525,1,0
Aays Analytics,Data Engineer,1,Mumbai,74528.83,0,1
Valiance Solutions,Data Scientist,10,New Delhi,73821.92,0,1
Goldman Sachs,Data Analyst,9,Bangalore,121855.0,0,1
Honeywell,Data Scientist,1,Pune,119873.42,0,1
XYZ Pvt LTD,Data Scientist,1,Hyderabad,62158.0,0,1
Musubi Management,Data Scientist,1,Bangalore,70655.0,0,1
ManKiBaat,Machine Learning,1,New Delhi,10368.0,0,1
ALBOT,Machine Learning,1,New Delhi,50000.0,0,1
Legato Health Technologies,Data Engineer,2,Bangalore,60125.08,0,1
Merilytics,Data Scientist,1,Hyderabad,74099.0,0,1
Intelenet,Data Analyst,1,Hyderabad,16402.83,0,1
Larsen & Toubro,Data Analyst,1,Mumbai,189157.58,1,0
Tech Mahindra,Data Scientist,3,Bangalore,125000.0,0,1
Shell,Data Scientist,1,Bangalore,241282.2525,1,0
Mactores,Data Engineer,1,Mumbai,10814.0,0,1
Gartner,Data Engineer,1,New Delhi,52059.75,0,1
Hans Infotech,Data Analyst,1,Mumbai,5374.0,0,1
Seventh Contact Hiring Solutions,Data Scientist,1,Pune,241282.2525,0,1
Fresher,Data Scientist,3,Hyderabad,25224.42,0,1
Dew Solutions,Data Engineer,1,New Delhi,124141.83,0,1
TDL,Data Engineer,1,Mumbai,125916.75,0,1
KPMG,Data Analyst,5,Mumbai,34970.92,0,1
HighRadius,Data Scientist,1,Hyderabad,204024.75,1,0
iNeuron,Machine Learning,1,Bangalore,5090.0,0,1
Ninestars Information Technologies,Data Scientist,1,Bangalore,27083.33,0,1
MetLife,Data Scientist,2,New Delhi,70147.75,0,1
Joany,Data Engineer,1,Hyderabad,21628.0,0,1
Kaplan,Data Scientist,1,Bangalore,163365.42,0,1
Fresh Gravity,Data Engineer,1,Pune,89573.58,0,1
LUMIQ,Data Engineer,1,New Delhi,93581.25,1,0
Metagogy Learning Systems,Machine Learning,1,Hyderabad,20719.42,0,1
Avalara,Data Analyst,1,Pune,39996.33,0,1
Excelra Knowledge Solutions,Data Scientist,2,Hyderabad,37677.5,0,1
CarDekho,Data Scientist,2,New Delhi,112726.83,0,1
Exa Mobility,Machine Learning,1,Pune,48044.42,0,1
Innodatatics,Data Scientist,1,Bangalore,162344.83,1,0
Fresherworld.com,Data Scientist,1,Hyderabad,25000.0,0,1
Zensar Technologies,Lead Data Scientist,1,Pune,127664.92,0,1
Google Cloud,Data Scientist,1,Pune,241282.2525,0,1
ABC,Data Scientist,5,New Delhi,60736.33,0,1
XYZ,Data Scientist,1,Bangalore,25000.0,0,1
Tredence,Data Analyst,7,Bangalore,54166.67,0,1
ValueLabs,Machine Learning,1,Hyderabad,146902.92,0,1
Ziffytech,Data Engineer,1,Pune,241282.2525,1,0
Success R Hrtech,Machine Learning,1,Mumbai,8395.25,0,1
LTI,Machine Learning,1,Mumbai,101809.5,0,1
SS Supply Chain Solutions,Data Analyst,1,Pune,136209.42,1,0
Mactores,Data Engineer,5,Mumbai,45195.17,0,1
Crown Holdings,Data Analyst,1,Hyderabad,62701.5,0,1
Sprinklr,Data Scientist,4,New Delhi,150411.75,0,1
Algo8.ai,Data Scientist,1,Bangalore,12213.67,0,1
BRIDGEi2i,Machine Learning,1,Bangalore,53122.33,1,0
Snap,Data Scientist,1,Bangalore,241282.2525,0,1
Axis Bank,Data Scientist,2,Pune,232796.0,0,1
E-Prospects,Data Analyst,1,Hyderabad,64415.33,0,1
IBM,Data Scientist,4,Bangalore,32953.0,0,1
Yash Technologies,Data Scientist,1,Pune,171247.67,0,1
Tata Consultancy Services,Data Engineer,1,Mumbai,19530.17,0,1
Razorpay,Data Analyst,2,Bangalore,38614.5,0,1
Symphony RetailAI,Data Analyst,3,Bangalore,58222.83,0,1
Polestar Solutions & Services India,Data Analyst,4,New Delhi,50403.92,0,1
Manthan,Data Scientist,1,Bangalore,241282.2525,1,0
Amazon,Data Analyst,2,Mumbai,83516.5,0,1
NTT DATA,Data Engineer,1,Pune,38397.0,0,1
Digihealth,Data Engineer,1,Mumbai,19506.83,0,1
e-Zest Solutions,Data Scientist,2,Pune,77675.33,0,1
Sigmoid,Data Engineer,1,Bangalore,241282.2525,1,0
BuddhiMed Technologies,Data Scientist,1,Bangalore,108201.0,0,1
Ericsson-Worldwide,Machine Learning,1,New Delhi,118892.0,1,0
R Systems,Machine Learning,2,New Delhi,32246.0,0,1
CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,1,Bangalore,58159.0,0,1
High Peak Software,Data Scientist,1,Bangalore,75000.0,0,1
Chemdiqas R & D,Data Scientist,1,Bangalore,55504.67,0,1
Grroom,Machine Learning,1,Mumbai,33333.33,0,1
Exzeo,Data Scientist,3,New Delhi,67807.5,0,1
Tata Consultancy Services (North America),Data Engineer,1,Mumbai,83333.33,0,1
Wipro,Data Engineer,1,Pune,128423.83,1,0
Citi,Data Engineer,1,Bangalore,134311.25,0,1
Stellar Organisation,Data Analyst,1,Mumbai,28232.67,0,1
Levi Strauss,Data Scientist,1,Bangalore,39376.17,0,1
VINAYA KUMAR,Data Scientist,1,Bangalore,175844.75,1,0
Prudential plc,Data Analyst,3,Mumbai,102193.92,0,1
Tech Mahindra,Data Scientist,5,New Delhi,90116.42,0,1
ADP,Data Scientist,3,Hyderabad,100000.0,0,1
Deloitte,Data Analyst,29,Hyderabad,52065.25,0,1
American Express,Data Analyst,15,New Delhi,94568.67,0,1
GlobalLogic,Machine Learning,1,New Delhi,20824.0,0,1
Opia Labs,Data Scientist,1,Bangalore,175570.67,0,1
Cuelogic Technologies,Data Engineer,1,Pune,127261.83,0,1
Tech Mahindra,Data Analyst,4,Bangalore,116856.33,1,0
Happiest Minds Technologies,Data Scientist,7,Bangalore,87500.0,0,1
Stanza Living,Data Analyst,3,New Delhi,75000.0,0,1
Nailbiter,Data Analyst,5,Mumbai,26711.92,0,1
Quadratic Insights,Data Scientist,9,Hyderabad,48662.83,0,1
Endurance International Group,Data Engineer,1,Mumbai,241282.2525,1,0
HyperWorks Imaging,Data Scientist,1,Bangalore,129623.0,0,1
QuEST Global,Data Engineer,1,Bangalore,21628.0,0,1
Roverside,Data Analyst,1,Pune,57228.58,0,1
Wibmo,Machine Learning,1,Bangalore,125403.0,0,1
Barclays,Data Analyst,10,Pune,71803.17,0,1
Machintel,Data Analyst,4,Pune,17736.0,0,1
Freshers.com,Junior Data Scientist,1,Pune,241282.2525,1,0
Amazon,Machine Learning,5,Hyderabad,31934.42,0,1
Housing.com,Data Scientist,1,New Delhi,241282.2525,1,0
Myntra,Data Analyst,41,Bangalore,83740.33,0,1
Thomson Reuters,Data Scientist,1,Bangalore,241282.2525,1,0
Pramata,Data Analyst,3,Bangalore,25791.0,0,1
ThinkBumblebee Analytics,Machine Learning,1,Pune,116445.58,0,1
Kagool,Data Engineer,1,Hyderabad,26823.0,0,1
Express Analytics,Data Scientist,1,Pune,73084.58,0,1
FN MathLogic Consulting Services,Data Analyst,2,New Delhi,55683.5,0,1
ADP,Data Scientist,2,Pune,52491.0,0,1
Tata Steel,Data Analyst,2,Hyderabad,71465.0,0,1
Blueocean Market Intelligence,Data Scientist,5,Bangalore,62045.92,0,1
360DigiTMG,Data Scientist,1,Bangalore,29968.33,0,1
Annalect,Data Analyst,5,Bangalore,56779.75,0,1
RMgX,Machine Learning,2,New Delhi,45859.67,0,1
CENTURYLINK,Data Scientist,1,Bangalore,116660.75,0,1
Red Hat,Senior Data Scientist,1,Pune,87000.25,0,1
ABC Tech,Data Scientist,1,Bangalore,61068.0,0,1
Encore Capital Group,Data Analyst,5,New Delhi,56465.33,0,1
Visteon,Data Scientist,1,Pune,200979.08,0,1
Oracle Financial Group,Data Scientist,1,Mumbai,50882.75,0,1
ShieldSquare,Data Scientist,3,Bangalore,63467.5,0,1
Visual IT Solutions,Machine Learning,1,Hyderabad,26872.08,0,1
Moneytor,Data Analyst,1,Mumbai,30821.0,0,1
iNeuron Junior,Machine Learning,1,Pune,36259.0,0,1
Simple Logic IT,Data Engineer,1,Mumbai,25122.0,0,1
Capgemini,Data Analyst,4,Pune,117023.75,1,0
McKinsey Knowledge Center,Data Scientist,2,New Delhi,156800.58,0,1
iQuanti,Data Engineer,1,Bangalore,41559.92,0,1
Mu Sigma,Data Engineer,5,Bangalore,65570.5,0,1
Great Learning,Data Scientist,4,New Delhi,70339.83,0,1
XYZ,Data Analyst,2,Pune,60889.92,0,1
Acies,Data Scientist,1,Bangalore,34624.33,0,1
QuantZig,Data Scientist,4,Bangalore,94838.33,0,1
Bitwise,Data Analyst,3,Pune,63630.92,0,1
Mobiotics,Data Engineer,1,Bangalore,73006.33,0,1
Freelancer,Data Engineer,2,New Delhi,105917.58,0,1
Ellicium Solutions Private Limited,Machine Learning,1,Pune,35170.92,0,1
NCBS,Data Scientist,1,Bangalore,35480.08,0,1
Delhivery,Data Scientist,15,New Delhi,104119.5,0,1
Cognizant Technology Solutions,Machine Learning,1,Bangalore,35416.67,0,1
DataVal Analytics,Data Scientist,2,Bangalore,57921.0,0,1
Fresh Gravity,Data Engineer,1,Pune,241282.2525,1,0
Okay.com,Data Scientist,1,Bangalore,17842.25,0,1
Nones,Machine Learning,2,Mumbai,51868.5,0,1
GlobusSoft,Data Scientist,3,Bangalore,32116.08,0,1
Samsung R&D Institute India - Bangalore,Machine Learning,1,Bangalore,15460.0,0,1
Hurrey Tech Ventures,Machine Learning,1,Bangalore,8957.33,0,1
Ugam,Data Analyst,16,Bangalore,60736.33,0,1
The Self Employed Association,Data Scientist,1,Bangalore,28565.08,0,1
ICS Consultancy,Data Engineer,1,Mumbai,156753.75,0,1
Saurav pandey,Data Engineer,1,New Delhi,237230.83,1,0
ZS Associates Senior,Data Scientist,1,Pune,241282.2525,1,0
NS Matrix Services,Data Analyst,1,New Delhi,83686.67,1,0
Atlan,Data Scientist,2,New Delhi,17362.0,0,1
Intelenet,Data Analyst,1,Hyderabad,59770.33,1,0
American Automobile Association (AAA),Data Engineer,1,Mumbai,94964.0,0,1
UnitedHealth Group,Data Scientist,2,Hyderabad,96034.83,0,1
GNA Serveis Telemàtics,Data Engineer,1,New Delhi,47801.75,0,1
Qwerty Concepts,Data Scientist,1,Hyderabad,241282.2525,0,1
Freshers.com,Machine Learning,1,Mumbai,61316.0,0,1
Artificial Learning Systems,Data Scientist,3,Bangalore,93728.33,0,1
HCL Technologies,Data Engineer,1,Pune,241282.2525,0,1
Coupa Software Inc,Data Analyst,1,Pune,145787.5,1,0
Persistent Systems,Data Analyst,2,Pune,39041.58,0,1
Daily Ninja,Data Analyst,3,Bangalore,31151.42,0,1
Evarcity,Data Scientist,1,Bangalore,30118.83,0,1
Srijan Technologies,Data Scientist,1,Bangalore,241282.2525,1,0
Datamatics Global Services,Data Scientist,1,Bangalore,28118.5,0,1
Chakri Technologies,Machine Learning,1,Hyderabad,25834.5,0,1
Tech9,Data Engineer,1,Pune,53104.33,0,1
Sokrati,Data Analyst,1,Pune,88615.17,1,0
Peacock Solar,Data Analyst,3,New Delhi,5374.0,0,1
Namekart,Data Analyst,4,New Delhi,15000.0,0,1
OYO,Data Analyst,3,New Delhi,33879.0,0,1
Siemens,Data Scientist,4,Bangalore,82289.25,0,1
McKinsey Knowledge Center,Data Analyst,5,New Delhi,128422.58,0,1
Wipro,Data Engineer,11,Bangalore,44147.75,0,1
Synechron,Machine Learning,1,Pune,241282.2525,1,0
ICE Mortgage Technology Senior,Machine Learning,1,Pune,200000.0,0,1
AB Innovative Software,Machine Learning,1,Mumbai,35568.0,0,1
Cubictree Technology Solutions,Data Analyst,1,Pune,32207.67,0,1
American Express Global Business Travel,Data Analyst,2,Bangalore,63141.0,0,1
TEKsystems,Data Analyst,1,Bangalore,148347.33,1,0
GLOBALFOUNDRIES,Data Scientist,1,Bangalore,240503.92,1,0
STL - Sterlite Technologies Limited,Data Scientist,1,Pune,86415.33,0,1
Crimson Interactive,Machine Learning,1,Mumbai,65515.08,0,1
Postman,Data Scientist,1,Bangalore,241282.2525,1,0
DONE by NONE,Data Engineer,4,Bangalore,25685.0,0,1
Honeywell,Data Analyst,3,Pune,30215.83,0,1
MakeMyTrip,Data Scientist,2,New Delhi,119259.25,0,1
Informatica,Data Analyst,1,Hyderabad,43456.17,0,1
XYZ (Turkey),Data Scientist,1,Bangalore,167482.5,0,1
Strata Decision Technology,Data Analyst,1,Pune,50056.33,0,1
Aktana,Data Scientist,1,Pune,150000.0,0,1
Volkswagen,Data Scientist,1,Pune,241282.2525,0,1
Jeet Techno Solutions,Data Analyst,1,Mumbai,88474.83,1,0
Amazon,Data Engineer,1,New Delhi,241282.2525,1,0
Dr. Reddy's,Data Analyst,1,Hyderabad,28000.0,0,1
Satori Group (India),Data Analyst,2,Mumbai,20887.0,0,1
Gramener,Data Scientist,1,Hyderabad,10749.0,0,1
Upwork,Machine Learning,1,New Delhi,39242.0,0,1
Artificial Brix,Junior Data Scientist,1,Pune,51374.33,0,1
Professional Data Analysts,Data Scientist,1,Bangalore,167482.5,0,1
EventStreet,Data Scientist,1,Pune,57511.0,0,1
CognitiveScale,Machine Learning,1,Hyderabad,241282.2525,0,1
First Student,Data Analyst,5,Mumbai,30573.75,0,1
Indian Institute of Technology Bombay,Machine Learning,1,Mumbai,9811.0,0,1
Urban Company,Data Engineer,2,New Delhi,132491.92,0,1
Brandscapes Worldwide,Data Analyst,2,Mumbai,20433.5,0,1
Shiv Nadar University,Data Scientist,1,Bangalore,182075.0,1,0
Target,Data Engineer,3,Bangalore,241282.2525,1,0
DBS Bank,Data Scientist,1,Hyderabad,204636.33,1,0
EVRY India,Machine Learning,1,Bangalore,26395.08,0,1
IBM,Data Engineer,10,New Delhi,50122.92,0,1
Mu Sigma,Data Scientist,1,Bangalore,60187.25,0,1
Axis Bank,Data Scientist,6,Mumbai,99472.83,0,1
Thomson Reuters,Data Scientist,2,Bangalore,127745.42,0,1
Collinson,Data Engineer,1,Mumbai,241282.2525,1,0
Saksoft,Data Scientist,1,Bangalore,241282.2525,1,0
NTT Ltd.,Data Scientist,2,Bangalore,134323.0,0,1
TheMathCompany,Data Scientist,3,Bangalore,50000.0,0,1
Paytm,Data Engineer,7,New Delhi,99732.5,0,1
CloudCover,Data Engineer,1,Pune,160000.0,0,1
FogHorn Systems,Data Scientist,1,Pune,191666.67,0,1
HCL,Data Analyst,3,New Delhi,25490.08,0,1
Flipkart,Data Analyst,6,Bangalore,149389.33,1,0
Proptiger,Machine Learning,1,New Delhi,203858.58,1,0
First Student,Data Analyst,4,Pune,31808.58,0,1
SS Supply Chain Solutions,Data Scientist,1,Pune,109359.33,0,1
Verisk Analytics,Data Scientist,2,New Delhi,54833.33,0,1
Vedantu,Data Scientist,1,Bangalore,58333.33,0,1
Tech Mahindra,Data Scientist,9,Hyderabad,54378.83,0,1
ABC,Machine Learning,1,Mumbai,62701.5,0,1
HCL Technologies,Data Analyst,2,Hyderabad,28103.0,0,1
Mu Sigma,Data Scientist,26,Bangalore,146323.0,1,0
Incubit,Data Engineer,1,New Delhi,204387.83,0,1
TIAA,Data Analyst,1,Pune,119861.08,0,1
First Student,Data Analyst,3,Hyderabad,50000.0,0,1
Xenon Automotive,Data Scientist,1,Bangalore,35424.0,0,1
Analytics Vidhya,Data Scientist,2,New Delhi,12647.0,0,1
Tavant,Data Engineer,5,Bangalore,50904.75,0,1
Anonymous Content,Data Analyst,3,Mumbai,43383.08,0,1
Tech Systems,Data Scientist,1,Bangalore,81269.33,0,1
Refinitiv,Data Scientist,1,Bangalore,42821.0,0,1
Walmart Global Tech,Data Engineer,5,Bangalore,126121.92,0,1
Claim Genius,Data Scientist,4,Hyderabad,162068.42,0,1
lnterplast,Data Scientist,1,Bangalore,32116.0,0,1
Azure Skynet,Machine Learning,1,Hyderabad,4144.0,0,1
EMPLOYERS,Data Scientist,1,Mumbai,241282.2525,1,0
FIS,Machine Learning,1,New Delhi,94708.33,0,1
Candle Techserv,Machine Learning,1,New Delhi,86912.25,0,1
Confidential,Data Scientist,1,Bangalore,119376.33,0,1
Abhijeet Group,Data Analyst,1,Pune,18570.0,0,1
TCS,Data Scientist,2,Bangalore,241282.2525,0,1
JBT Corporation,Data Scientist,1,Bangalore,104400.0,0,1
Scry Analytics,Data Scientist,2,New Delhi,110790.0,0,1
Lumiq (India),Data Engineer,4,New Delhi,41765.0,0,1
People Group,Data Scientist,1,Mumbai,15271.0,0,1
ThinkBumblebee Analytics,Data Scientist,1,Pune,10387.0,0,1
The Fresh Market,Data Scientist,1,Pune,25580.67,0,1
GE Aviation,Data Engineer,3,Bangalore,85971.5,0,1
Vsoft,Data Scientist,1,Bangalore,38691.83,0,1
Kabbage,Data Scientist,1,Bangalore,241282.2525,1,0
EC-Mobility,Data Engineer,3,Bangalore,33247.92,0,1
Intangles,Machine Learning,1,Pune,16747.5,1,0
KrazyBee,Data Analyst,4,Bangalore,70712.33,0,1
Quantium,Data Analyst,3,Hyderabad,89403.5,0,1
Concentrix,Data Scientist,1,Pune,241282.2525,0,1
Avantari Technologies,Machine Learning,2,Hyderabad,48987.67,0,1
PwC,Data Scientist,3,Bangalore,100489.5,0,1
Multi Recruit,Data Scientist,1,Bangalore,241282.2525,1,0
Mastercard,Data Engineer,3,New Delhi,137399.0,0,1
Professional,Data Analyst,3,New Delhi,25685.0,0,1
SMEcorner,Data Scientist,2,Mumbai,40725.0,0,1
Prithvi Nath,Data Analyst,1,Pune,10749.0,0,1
ThinkBumblebee Analytics,Data Scientist,7,Pune,89211.33,0,1
Apar Technologies,Data Scientist,1,Pune,41666.67,0,1
J.P. Morgan,Data Scientist,1,Mumbai,182209.08,0,1
VE Commercial Vehicles,Data Scientist,1,Bangalore,56237.0,0,1
Elucidata (MA),Data Engineer,3,New Delhi,57529.67,0,1
WNS,Data Analyst,8,New Delhi,60567.42,0,1
Infosys,Data Scientist,1,New Delhi,16940.0,0,1
Quantiphi Senior,Machine Learning,1,New Delhi,145666.67,0,1
Bidgely,Data Analyst,4,Bangalore,56543.0,0,1
RBL Bank,Data Scientist,4,Mumbai,98392.0,0,1
tabdbjsdo,Data Scientist,1,Bangalore,100000.0,0,1
Mphasis,Data Analyst,3,Pune,35245.5,0,1
Amazon,Data Scientist,1,Pune,9657.0,0,1
Johnson Controls,Data Scientist,1,Pune,241282.2525,0,1
Tata Consultancy Services,Data Analyst,36,Mumbai,39922.58,0,1
Cognizant Technology Solutions,Data Scientist,8,New Delhi,80482.42,0,1
Fresher,Data Scientist,14,Bangalore,45915.0,0,1
Motorola Solutions,Data Scientist,1,Bangalore,241282.2525,1,0
Tech Mahindra,Data Engineer,1,Pune,75673.0,0,1
McKinsey & Company,Data Scientist,1,New Delhi,241282.2525,1,0
IIFL,Data Analyst,2,Mumbai,23031.33,0,1
Haptik,Machine Learning,3,Mumbai,19118.0,0,1
Boeing,Data Scientist,2,Bangalore,188859.33,0,1
Evarcity,Machine Learning,1,Bangalore,15000.0,0,1
Colgate-Palmolive,Data Scientist,1,Mumbai,60736.33,0,1
Quick Heal,Senior Data Scientist,1,Pune,162862.67,0,1
Tata Consultancy Services,Senior Data Scientist,2,Pune,174360.33,0,1
LiquidHub,Data Analyst,2,New Delhi,74933.42,1,0
